year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,13099,1622,4,21,1938,3585,8.814504881
2000,13101,272,0,12,614,898,38.08463252
2000,13103,3232,13,79,7326,10650,38.44131455
2000,13105,2527,14,50,3262,5853,12.55766274
2000,13107,2835,1,84,3343,6263,8.111128852
2000,13109,1217,2,20,1841,3080,20.25974026
2000,13111,2736,33,158,5463,8390,32.50297974
2000,13113,11912,259,940,29338,42449,41.05161488
2000,13115,10282,0,349,16194,26825,22.03914259
2000,13117,6694,132,1160,27769,35755,58.9428052
2000,13119,2040,0,63,3659,5762,28.09788268
2000,13121,152039,1264,5039,104870,263212,17.92053554
2000,13123,2230,35,164,4941,7370,36.78426052
2000,13125,249,0,8,763,1020,50.39215686
2000,13127,7778,128,132,14346,22384,29.34238742
2000,13129,4032,18,211,7944,12205,32.05243753
2000,13131,2721,18,70,3894,6703,17.49962703
2000,13133,2137,13,67,2980,5197,16.22089667
2000,13135,61434,1298,6623,121756,191111,31.56385556
2000,13137,2530,36,161,6964,9691,45.75379218
2000,13139,10259,190,860,26841,38150,43.46526868
2000,13141,2414,4,6,662,3086,56.77252106
2000,13143,2869,0,145,5153,8167,27.96620546
2000,13145,2912,20,76,5554,8562,30.85727634
2000,13147,3192,21,81,4242,7536,13.93312102
2000,13149,1178,9,64,1947,3198,24.04627892
2000,13151,11971,46,1035,25815,38867,35.6189055
2000,13153,13301,89,424,23174,36988,26.69244079
2000,13155,1105,3,24,1720,2852,21.56381487
2000,13157,3420,43,294,7878,11635,38.31542759
2000,13159,1558,2,85,2298,3943,18.76743596
2000,13161,1379,2,43,2797,4221,33.59393509
2000,13163,2973,2,32,2559,5566,7.438016529
2000,13165,1250,5,21,1317,2593,2.583879676
2000,13167,1065,1,20,1797,2883,25.39021852
2000,13169,3102,24,92,4850,8068,21.66584036
2000,13171,2194,15,109,2912,5230,13.72848948
2000,13173,832,3,21,1048,1904,11.34453782
2000,13175,5724,0,179,8133,14036,17.1630094
2000,13177,1936,9,67,5872,7884,49.9238965
2000,13179,5347,26,144,4455,9972,8.945046129
2000,13181,1275,0,21,1807,3103,17.14469868
2000,13183,975,1,18,1320,2314,14.90924806
2000,13185,10616,188,166,14462,25432,15.12268009
2000,13187,2121,0,202,4427,6750,34.16296296
2000,13189,2580,6,38,3926,6550,20.54961832
2000,13191,2047,4,20,1766,3837,7.323429763
2000,13193,2757,3,29,1566,4355,27.347876
2000,13195,2285,44,135,5529,7993,40.58551232
2000,13197,982,0,15,1187,2184,9.386446886
2000,13199,3441,13,93,3162,6709,4.158592935
2000,13201,783,0,18,1349,2150,26.3255814
2000,13205,2971,5,33,2790,5799,3.121227798
2000,13207,2839,18,123,4561,7541,22.83516775
2000,13209,1013,8,23,1465,2509,18.01514548
2000,13211,2238,29,111,3524,5902,21.78922399
2000,13213,2684,10,139,5539,8372,34.1017678
2000,13215,28193,243,248,23479,52163,9.037056918
2000,13217,6703,31,514,11127,18375,24.07619048
2000,13219,3184,148,225,7611,11168,39.64004298
2000,13221,1519,69,91,2706,4385,27.0695553
2000,13223,6743,34,602,16881,24260,41.78895301
2000,13225,3540,3,69,3525,7137,0.210172341
2000,13227,2489,9,215,5488,8201,36.56871113
2000,13229,1300,2,31,3348,4681,43.75133518
2000,13231,1413,13,101,3358,4885,39.81576254
